SP	41262199	103978	251.99
RS	10693929	21239	198.61
DF	2570160	5007	194.81
PR	10444526	20309	194.45
RJ	15989929	30387	190.04
SC	6248436	11100	177.64
MS	2449024	4279	174.72
ES	3514952	6118	174.06
MG	19597330	33803	172.49
GO	6003788	8157	135.86
MT	3035122	3687	121.48
BA	14016906	15646	111.62
SE	2068017	2266	109.57
RO	1562409	1576	100.87
PE	8796448	8270	94.02
AP	669526	612	91.41
TO	1383445	1173	84.79
RR	450479	380	84.35
PB	3766528	3093	82.12
RN	3168027	2514	79.36
AM	3483985	2629	75.46
AL	3120494	2202	70.57
PA	7581051	5313	70.08
MA	6574789	4165	63.35
CE	8452381	4934	58.37
PI	3118360	1612	51.69
AC	733559	373	50.85
